"mietekalt","qm_Preis","wohnflaeche","alter","objektzustand","zimmeranzahl","balkon","einbaukueche","keller","ausstattung","ausstattung_kat","aufzug","gaestewc","garten","heizungsart","barrierefrei","Einstellungsdatum","Einstellungsmonat"
620,7.56097555160522,82,NA,7,3,1,0,1,0,0,0,0,0,NA,0,2019-02-01,"02"
440,8.30188655853271,53,41,NA,2,1,1,1,0,0,0,0,0,6,0,2019-05-01,"05"
600,10,60,4,7,2,0,1,0,1,2,0,0,0,6,1,2019-07-01,"07"
419,7.57822370529175,55.2900009155273,54,7,2,1,0,0,0,0,0,0,0,13,0,2019-07-01,"07"
294,6.21170473098755,47.3300018310547,66,5,2,1,0,1,0,0,0,0,0,13,0,2019-07-01,"07"
403,6.00148916244507,67.1500015258789,94,NA,3,1,0,1,0,0,0,0,0,4,0,2019-07-01,"07"
740,6.72727251052856,110,NA,NA,4,1,1,0,0,0,0,0,0,NA,0,2019-02-01,"02"
438.63,7.755126953125,56.560001373291,60,NA,2,1,0,1,0,0,0,0,0,13,0,2019-02-01,"02"
490,6.71877145767212,72.9300003051758,49,7,3.5,1,0,0,0,0,1,0,0,NA,0,2019-08-01,"08"
650,6.13207530975342,106,38,8,3,1,1,1,1,1,0,1,1,5,0,2018-11-01,"11"
330,7.02127647399902,47,59,7,2,0,0,1,1,1,0,0,0,3,0,2019-12-01,"12"
240,7.5,32,58,7,1,0,0,1,1,1,0,0,0,6,0,2019-01-01,"01"
550,5.72916650772095,96,NA,7,4,1,0,1,0,0,0,0,1,10,0,2019-01-01,"01"
700,7.36842107772827,95,82,5,4,1,0,1,1,1,0,0,0,3,0,2019-07-01,"07"
615,11.5775604248047,53.1199989318848,121,2,2,1,0,1,1,2,0,0,0,4,0,2019-08-01,"08"
790,9.08045959472656,87,131,4,3,1,0,1,1,2,0,0,0,4,0,2019-02-01,"02"
420,7.63636350631714,55,47,3,2,0,1,1,1,1,0,0,1,13,0,2019-12-01,"12"
920,9.01960754394531,102,10,NA,3,1,1,1,0,0,1,1,0,13,1,2019-09-01,"09"
