"mietekalt","qm_Preis","wohnflaeche","alter","objektzustand","zimmeranzahl","balkon","einbaukueche","keller","ausstattung","ausstattung_kat","aufzug","gaestewc","garten","heizungsart","barrierefrei","Einstellungsdatum","Einstellungsmonat"
360,7.5,48,62,7,2,0,0,0,0,0,0,0,0,3,0,2019-06-01,"06"
500,6.94444465637207,72,20,7,2.5,0,0,1,1,1,0,0,0,NA,0,2019-10-01,"10"
480.81,5.86997890472412,81.9100036621094,4,3,3,1,0,1,1,2,1,0,0,6,1,2019-03-01,"03"
690,8.625,80,4,3,3,1,1,0,1,2,0,0,0,6,0,2019-05-01,"05"
590,7.49396657943726,78.7300033569336,23,6,3,1,0,1,1,1,0,0,0,4,0,2019-01-01,"01"
315,7,45,105,5,1,0,0,1,1,2,0,0,1,13,0,2019-07-01,"07"
554,8.45543384552002,65.5199966430664,21,NA,2,1,0,1,0,0,1,0,0,4,1,2019-12-01,"12"
585,8.60294151306152,68,95,NA,3,0,0,0,0,0,0,0,0,3,0,2019-01-01,"01"
580,7.53246736526489,77,NA,NA,4,0,1,1,0,0,0,0,1,NA,0,2019-06-01,"06"
420,12,35,NA,NA,2,0,0,0,0,0,0,0,1,13,0,2018-12-01,"12"
489,6.82865524291992,71.6100006103516,54,7,3,1,0,0,0,0,0,0,0,13,0,2019-03-01,"03"
495,7.07142877578735,70,108,7,2.5,0,1,1,1,1,0,0,0,13,0,2019-09-01,"09"
795,5.88888883590698,135,NA,5,3,1,1,1,1,2,0,1,0,13,0,2019-01-01,"01"
597.49,9.94987487792969,60.0499992370605,63,NA,3,1,0,1,0,0,0,0,0,3,0,2018-11-01,"11"
499,6.74415493011475,73.9899978637695,49,7,3.5,1,0,0,0,0,0,0,0,NA,0,2019-01-01,"01"
396.84,4.94998121261597,80.1699981689453,NA,7,4,1,0,1,1,1,0,1,0,NA,1,2019-02-01,"02"
463.98,7.66782379150391,60.5099983215332,81,NA,3,0,0,1,0,0,0,0,1,13,1,2019-05-01,"05"
595,8.04054069519043,74,20,NA,3,1,1,1,0,0,0,0,0,6,0,2019-11-01,"11"
357,7,51,65,7,2,0,1,1,1,1,0,0,1,6,0,2019-11-01,"11"
349.89,4.31058263778687,81.1699981689453,40,NA,3,1,0,1,0,0,1,0,0,13,0,2019-02-01,"02"
370,7.40000009536743,50,NA,NA,1,1,0,1,0,0,0,0,1,NA,0,2019-07-01,"07"
750,11.71875,64,NA,NA,3,1,0,1,0,0,0,0,0,NA,0,2019-09-01,"09"
1080,12,90,91,3,3,0,0,1,1,2,0,0,0,13,0,2019-12-01,"12"
390,6.84210538864136,57,49,7,2,1,0,1,1,1,0,0,0,NA,0,2019-10-01,"10"
1040,8,130,63,4,4,1,0,1,1,1,0,0,0,4,0,2019-02-01,"02"
893.07,9,99.2300033569336,NA,NA,3,0,0,0,0,0,1,0,0,NA,0,2019-03-01,"03"
350,10,35,NA,4,1,0,0,0,1,1,0,0,0,13,0,2019-09-01,"09"
880,11,80,67,7,2,1,1,1,1,2,0,0,0,NA,0,2018-11-01,"11"
490,10.8888893127441,45,41,7,1,1,1,0,1,1,0,0,0,13,0,2019-12-01,"12"
615,7.59259271621704,81,50,7,3,1,1,1,1,1,0,1,1,4,0,2019-01-01,"01"
750,6.81818199157715,110,68,7,4,1,0,1,1,1,0,0,0,4,0,2019-01-01,"01"
412,5.97534465789795,68.9499969482422,55,NA,3,1,0,1,0,0,0,0,0,4,0,2019-02-01,"02"
479,6.56794166564941,72.9300003051758,49,7,3.5,1,0,0,0,0,1,0,0,NA,0,2019-08-01,"08"
489.84,8.44551753997803,58,56,NA,2,1,0,1,0,0,0,0,0,13,0,2019-07-01,"07"
924,8.25368499755859,111.949996948242,NA,3,3,0,1,0,0,0,0,0,0,4,0,2019-07-01,"07"
600,8,75,54,2,3,1,0,1,0,0,0,0,1,13,0,2019-04-01,"04"
820,9.50945091247559,86.2300033569336,2,1,3,1,0,1,1,2,1,0,0,5,1,2018-11-01,"11"
585,9.99316692352295,58.5400009155273,2,1,2,1,0,1,1,2,1,0,0,5,1,2018-11-01,"11"
670,10,67,38,5,2,1,1,1,1,2,0,0,0,4,0,2019-12-01,"12"
389,6.89227533340454,56.439998626709,93,7,3,1,0,0,0,0,0,0,0,13,0,2019-07-01,"07"
650,7.64705896377563,85,50,7,3,1,0,1,1,1,0,0,0,3,0,2019-06-01,"06"
590,8.55072498321533,69,56,4,3,1,0,1,1,2,1,0,0,13,0,2019-06-01,"06"
453.9,7.75632238388062,58.5200004577637,64,NA,2.5,1,0,1,0,0,0,0,0,13,0,2019-03-01,"03"
508.18,7.2215428352356,70.370002746582,25,7,3,1,0,0,0,0,0,0,1,13,0,2019-03-01,"03"
399,6.76271200180054,59,63,7,3,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
450,6,75,NA,NA,3,1,1,1,0,0,0,0,1,NA,0,2019-04-01,"04"
650,9.84848499298096,66,113,5,2.5,1,0,1,1,2,0,1,0,13,0,2019-11-01,"11"
393.61,5.21199703216553,75.5199966430664,50,NA,3,1,0,1,0,0,0,0,0,13,0,2019-04-01,"04"
540,6.20689678192139,87,45,7,3,1,1,0,0,0,0,0,0,13,0,2019-01-01,"01"
550,5.5,100,65,5,4,1,1,1,0,0,0,0,0,13,0,2019-07-01,"07"
720,10.4347829818726,69,6,NA,2,1,1,1,0,0,1,0,0,5,0,2019-07-01,"07"
1100,10,110,3,6,5,1,0,1,1,1,1,1,0,13,0,2019-09-01,"09"
265.68,5.43312883377075,48.9000015258789,24,NA,2,1,0,1,0,0,1,0,0,NA,1,2019-10-01,"10"
473.88,7.53865718841553,62.8600006103516,62,NA,3,0,0,1,0,0,0,0,0,13,0,2019-02-01,"02"
655,7.7976188659668,84,118,6,3,0,0,1,1,2,0,0,1,13,0,2019-08-01,"08"
349,7.58036470413208,46.0400009155273,25,7,2,1,0,0,0,0,0,0,0,13,0,2019-03-01,"03"
255,6.0844669342041,41.9099998474121,66,7,2,1,1,1,0,0,0,0,0,13,0,2019-08-01,"08"
488.1,8.56315803527832,57,56,NA,2,1,0,1,0,0,0,0,0,13,0,2019-08-01,"08"
790,7.74509811401367,102,60,5,3,1,0,0,0,0,1,0,0,13,0,2019-11-01,"11"
690,9.32432460784912,74,NA,2,3,0,1,1,1,2,1,0,0,4,0,2019-01-01,"01"
522.46,8.54530620574951,61.1399993896484,61,NA,3,1,0,1,0,0,0,0,0,3,0,2019-04-01,"04"
429,7.39655160903931,58,25,7,2,1,0,1,1,1,0,0,0,13,0,2019-03-01,"03"
393.61,5.21199703216553,75.5199966430664,50,NA,3,1,0,1,0,0,0,0,0,13,0,2019-04-01,"04"
550,7.74647903442383,71,56,NA,3,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
765,10.8372297286987,70.5899963378906,2,1,3,1,0,1,1,2,1,0,0,5,1,2019-01-01,"01"
408.29,5.05998229980469,80.6900024414062,41,NA,2,1,0,1,0,0,1,0,0,13,1,2019-07-01,"07"
600,9.32690811157227,64.3300018310547,60,NA,3,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
255,12.1428575515747,21,107,7,1,0,1,0,0,0,0,0,0,4,0,2019-01-01,"01"
642,11.002571105957,58.3499984741211,1,1,2,1,0,1,0,0,1,0,0,NA,0,2019-07-01,"07"
420,10.7692308425903,39,51,7,1,1,1,1,1,2,0,0,0,13,0,2019-02-01,"02"
489,6.82865524291992,71.6100006103516,54,7,3,1,0,0,0,0,0,0,0,13,0,2019-06-01,"06"
360,9.72972965240479,37,NA,4,1,0,0,0,0,0,0,0,0,13,0,2019-03-01,"03"
598,11.2830190658569,53,1,1,2,1,0,1,1,2,1,0,1,5,1,2019-10-01,"10"
608,8,76,50,NA,3,1,0,1,0,0,0,0,0,13,0,2019-11-01,"11"
735,7,105,NA,7,3,1,0,1,0,0,0,1,1,NA,0,2019-06-01,"06"
510,7.96875,64,44,7,3,1,1,0,1,1,0,0,0,13,0,2019-11-01,"11"
590,8.42375755310059,70.0400009155273,61,NA,3,1,0,1,0,0,0,0,0,3,0,2019-01-01,"01"
604,8.44164848327637,71.5500030517578,57,NA,3,1,0,1,0,0,0,0,0,3,0,2019-03-01,"03"
1050,9.54545497894287,110,3,6,5,1,0,1,1,1,1,1,0,13,0,2019-11-01,"11"
495,6.74386930465698,73.4000015258789,24,7,3,0,0,0,1,1,0,0,0,4,0,2019-09-01,"09"
660,10,66,1,1,2,1,0,0,1,2,1,0,0,5,1,2019-05-01,"05"
570,7.59999990463257,75,NA,NA,3,1,1,1,0,0,0,0,0,NA,0,2019-02-01,"02"
630,9.16230297088623,68.7600021362305,3,NA,2,1,0,1,0,0,1,0,0,12,0,2018-12-01,"12"
410,8.19999980926514,50,119,7,2,0,1,1,1,2,0,0,1,4,0,2019-03-01,"03"
754,10.1045293807983,74.620002746582,63,NA,4,1,0,1,0,0,0,0,0,13,0,2019-04-01,"04"
284,5.4911060333252,51.7200012207031,69,NA,2,0,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
419,7.61818170547485,55,54,7,2,1,0,0,0,0,0,0,0,13,0,2019-08-01,"08"
295,7.0238094329834,42,45,7,1.5,1,0,1,1,1,0,0,0,13,0,2019-07-01,"07"
680,6.4761905670166,105,49,7,3.5,1,1,1,1,1,0,0,1,6,0,2019-06-01,"06"
419,6.98333311080933,60,89,7,3,0,0,1,0,0,0,0,1,3,0,2019-10-01,"10"
690,8.02325534820557,86,65,7,4,1,1,1,1,1,0,0,0,4,0,2019-04-01,"04"
469.33,7.35511636734009,63.810001373291,58,NA,3,1,0,1,0,0,0,0,1,13,0,2019-07-01,"07"
680,8.43358612060547,80.629997253418,NA,4,3,0,0,1,1,2,0,0,0,4,0,2018-12-01,"12"
410,13.6666669845581,30,NA,NA,1,0,0,1,0,0,0,0,0,NA,0,2019-07-01,"07"
588,11.3733072280884,51.7000007629395,4,3,2,1,1,0,1,2,1,0,1,1,1,2019-10-01,"10"
479,6.47384786605835,73.9899978637695,49,7,3.5,1,0,0,0,0,0,0,0,NA,0,2019-03-01,"03"
381,5.89327144622803,64.6500015258789,59,NA,3,1,0,1,0,0,0,0,0,3,0,2019-11-01,"11"
520,6.5,80,26,NA,3,1,0,0,0,0,0,0,0,13,0,2019-02-01,"02"
350,7,50,57,5,2,1,1,1,1,1,0,0,1,13,0,2019-06-01,"06"
299,6.79545450210571,44,89,7,3,0,0,1,0,0,0,0,0,3,0,2019-01-01,"01"
310,8.85714244842529,35,NA,6,2,0,1,1,1,1,0,0,0,13,0,2019-10-01,"10"
600,10,60,NA,4,3,0,0,0,0,0,0,0,0,4,0,2019-10-01,"10"
1190,10,119,123,7,4,1,0,0,0,0,0,0,0,4,0,2019-09-01,"09"
1325,10.6854839324951,124,4,3,4.5,1,1,0,0,0,1,1,0,NA,1,2019-09-01,"09"
530,7.26027393341064,73,56,5,3,1,0,1,1,1,0,1,0,13,0,2019-08-01,"08"
420,8.39999961853027,50,68,7,2,0,1,1,1,1,0,0,0,6,0,2019-08-01,"08"
310,6.66666650772095,46.5,29,7,2,1,0,0,0,0,0,0,0,13,0,2019-04-01,"04"
530,6.46341466903687,82,120,NA,3,0,0,0,1,1,0,0,0,NA,0,2019-10-01,"10"
535.03,8.52909278869629,62.7299995422363,61,NA,3,1,0,1,0,0,0,0,0,13,0,2019-02-01,"02"
558.89,8.58246231079102,65.120002746582,61,NA,3,1,0,1,0,0,0,0,0,13,0,2019-12-01,"12"
880,10.9931287765503,80.0500030517578,1,1,2,1,1,1,0,0,1,0,0,NA,0,2019-06-01,"06"
1300,10,130,NA,4,5,1,0,1,1,2,1,1,0,4,0,2019-04-01,"04"
547.5,7.71126747131348,71,55,NA,3,1,0,1,0,0,0,0,0,13,0,2019-04-01,"04"
615,8.19999980926514,75,NA,3,2,1,0,1,1,2,1,0,0,1,1,2019-11-01,"11"
570,10.9615383148193,52,3,NA,2,1,1,1,0,0,1,0,0,5,0,2019-03-01,"03"
415,13.9730634689331,29.7000007629395,1,1,1,1,1,0,1,2,0,0,0,5,1,2019-08-01,"08"
415,6.79548072814941,61.0699996948242,61,7,3,1,0,1,0,0,0,0,0,13,0,2019-04-01,"04"
564.52,9.64991474151611,58.5,5,6,2,1,0,0,0,0,1,0,0,5,0,2019-07-01,"07"
450,7.52760124206543,59.7799987792969,63,2,3,1,0,1,0,0,0,0,0,4,0,2019-02-01,"02"
479,6.70398902893066,71.4499969482422,54,7,3,1,0,1,0,0,0,0,0,13,0,2019-10-01,"10"
508,7.47058820724487,68,23,6,2,1,0,1,0,0,0,0,1,13,0,2019-03-01,"03"
350,7.44680833816528,47,23,5,1,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
200,7.692307472229,26,37,NA,1,1,0,1,0,0,1,0,0,13,0,2019-04-01,"04"
310,13.1858777999878,23.5100002288818,72,5,1,0,1,1,1,2,1,0,0,4,0,2019-10-01,"10"
800,7.27272748947144,110,NA,7,4,0,1,1,1,1,0,0,0,3,0,2019-12-01,"12"
260,13,20,NA,7,1,0,1,0,0,0,0,0,0,13,0,2019-11-01,"11"
449,7.12698411941528,63,70,7,3,1,0,0,0,0,0,0,0,13,0,2019-02-01,"02"
320,5.42372894287109,59,108,4,2.5,0,0,1,1,1,0,0,1,3,0,2019-02-01,"02"
560,8.86917972564697,63.1399993896484,59,NA,3,1,0,1,0,0,0,0,0,3,0,2019-07-01,"07"
509,7.59701490402222,67,23,NA,2,1,0,0,0,0,0,0,1,13,0,2019-08-01,"08"
333.54,4.54847955703735,73.3300018310547,29,7,3,1,0,0,0,0,0,0,0,NA,0,2019-09-01,"09"
365,5.44776105880737,67,NA,NA,3,1,1,1,0,0,0,0,0,NA,0,2019-09-01,"09"
895,11.165168762207,80.1600036621094,2,1,3,1,0,1,1,2,1,1,0,4,0,2019-09-01,"09"
440,9.77777767181396,45,120,7,2,0,0,0,0,0,0,0,0,NA,0,2019-10-01,"10"
534,7.52112674713135,71,55,NA,3,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
1050,10.9649124145508,95.7600021362305,10,6,3,1,0,1,1,1,1,1,0,NA,0,2019-09-01,"09"
600,8,75,108,NA,3,1,0,1,0,0,0,0,0,NA,0,2019-09-01,"09"
501.5,8.5,59,55,NA,2,1,0,1,0,0,0,0,0,13,0,2019-09-01,"09"
698,10.0330600738525,69.5699996948242,95,3,1,1,0,1,1,2,1,0,0,4,1,2019-07-01,"07"
925,7.40000009536743,125,122,5,4,0,0,0,0,0,0,0,0,4,0,2019-07-01,"07"
385,14.259259223938,27,120,7,1,1,1,0,1,1,0,0,0,2,0,2019-12-01,"12"
1008,9,112,28,5,3.5,1,0,0,1,1,1,1,0,3,0,2019-10-01,"10"
429,7.07337141036987,60.6500015258789,89,7,3,0,0,1,0,0,0,0,0,3,0,2019-09-01,"09"
456,7.07964563369751,64.4100036621094,80,7,3,0,0,0,0,0,0,0,0,NA,0,2019-10-01,"10"
622.74,8.85328483581543,70.3399963378906,60,NA,3,1,0,1,0,0,0,0,0,13,0,2019-04-01,"04"
830,9.43181800842285,88,28,4,2,0,0,1,0,0,1,0,0,NA,0,2019-07-01,"07"
720,7.5789475440979,95,36,5,3,1,1,1,1,2,0,1,0,4,0,2019-06-01,"06"
521.78,11.1064281463623,46.9799995422363,1,1,2,1,0,0,1,2,1,0,1,5,1,2019-07-01,"07"
618,7.40829563140869,83.4199981689453,49,5,3,1,0,0,0,0,0,0,0,13,0,2018-11-01,"11"
559,6.75365495681763,82.7699966430664,59,NA,4,1,0,0,0,0,0,0,0,NA,0,2019-01-01,"01"
1082,10.4541063308716,103.5,5,7,3,1,0,0,0,0,0,0,0,NA,0,2019-06-01,"06"
375,7.8125,48,66,NA,2,0,0,1,0,0,0,0,0,13,0,2019-06-01,"06"
258,6.29268312454224,41,22,7,1,1,1,1,0,0,1,0,0,13,0,2019-04-01,"04"
680,8.29268264770508,82,49,7,3,1,1,1,0,0,0,0,1,13,0,2019-06-01,"06"
280,14,20,65,NA,1,0,1,0,0,0,0,0,0,13,0,2019-03-01,"03"
920,11.358024597168,81,1,1,3,1,0,1,1,2,1,1,0,1,1,2019-07-01,"07"
420,9.33333301544189,45,120,7,2,0,0,0,0,0,0,0,0,NA,0,2019-08-01,"08"
599,8.20547962188721,73,50,NA,3,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
650,7.0652174949646,92,NA,NA,4,1,0,1,0,0,1,0,0,13,0,2019-02-01,"02"
410,6.72131156921387,61,47,NA,2,1,0,1,0,0,0,0,0,13,0,2019-07-01,"07"
290,7.25,40,NA,NA,2,0,0,0,0,0,0,0,1,NA,0,2018-06-01,"06"
780,10.6644792556763,73.1399993896484,NA,3,2,0,1,0,0,0,0,0,0,13,0,2019-11-01,"11"
450,10,45,34,7,2,1,0,0,0,0,0,0,0,13,0,2019-07-01,"07"
409,7.50734233856201,54.4799995422363,54,7,2,1,0,0,0,0,0,0,0,13,0,2019-11-01,"11"
845,10.5625,80,1,3,3,1,1,1,1,2,1,1,0,4,1,2019-07-01,"07"
675,9,75,82,2,3,0,0,1,0,0,0,0,0,NA,0,2019-07-01,"07"
300,7.692307472229,39,NA,NA,1,1,1,1,0,0,0,0,1,6,0,2019-11-01,"11"
850,8.5,100,23,6,4,1,0,1,1,2,1,0,0,13,1,2019-07-01,"07"
199,5.01765012741089,39.6599998474121,66,7,2,0,0,1,0,0,0,0,0,3,0,2019-07-01,"07"
908,8.25454521179199,110,2,3,5,1,0,0,0,0,1,0,0,4,0,2019-04-01,"04"
386.55,7.80278539657593,49.5400009155273,64,NA,2,0,0,1,0,0,0,0,0,13,0,2019-02-01,"02"
570.02,8.52430057525635,66.870002746582,62,NA,3,1,0,1,0,0,0,0,0,13,0,2019-08-01,"08"
317.1,5.01185369491577,63.2700004577637,33,NA,2,0,0,0,0,0,0,0,0,NA,0,2019-10-01,"10"
499,8.60344791412354,58,60,NA,3,0,1,1,0,0,0,0,1,13,0,2019-08-01,"08"
351.63,7.31191492080688,48.0900001525879,66,NA,2,0,0,1,0,0,0,0,1,13,0,2019-01-01,"01"
700,9.72222232818604,72,NA,2,3,1,1,1,1,2,0,0,0,6,0,2019-03-01,"03"
600,8,75,NA,4,2,1,0,1,1,2,0,0,0,13,0,2019-05-01,"05"
750,6.63716793060303,113,21,7,4,0,0,1,1,2,0,1,0,13,0,2019-09-01,"09"
430,9.55555534362793,45,86,NA,2,0,0,1,0,0,0,0,0,4,0,2019-11-01,"11"
800,8.30220031738281,96.3600006103516,2,NA,3,1,0,0,1,2,1,0,0,5,1,2019-03-01,"03"
410,13.2258062362671,31,7,4,1,0,0,0,0,0,0,0,0,13,0,2019-08-01,"08"
606.93,9.59724807739258,63.2400016784668,63,NA,3,1,0,1,0,0,0,0,0,13,0,2019-05-01,"05"
704,11,64,1,1,2,1,0,1,0,0,0,0,0,NA,0,2019-07-01,"07"
530,9.13793087005615,58,40,6,2,1,0,1,0,0,0,0,0,6,0,2019-10-01,"10"
595,7.95348262786865,74.8099975585938,23,2,2.5,1,0,1,1,1,0,0,1,13,0,2018-12-01,"12"
624,6.01851844787598,103.680000305176,108,NA,3,1,0,0,0,0,0,0,0,NA,0,2018-10-01,"10"
540,9,60,NA,7,3,0,0,0,1,1,0,0,0,13,0,2019-08-01,"08"
1250,12.5464220046997,99.629997253418,2,1,4,1,0,1,1,2,1,1,0,5,1,2019-07-01,"07"
650,8.33333301544189,78,84,7,3,1,1,0,1,2,0,0,0,3,0,2019-01-01,"01"
227,6.00687980651855,37.7900009155273,69,NA,2,0,0,1,0,0,0,0,0,3,0,2019-09-01,"09"
320,7.11111116409302,45,NA,NA,2,0,0,0,0,0,0,0,0,NA,0,2019-03-01,"03"
553,7.49932193756104,73.7399978637695,23,6,2,1,0,1,1,1,0,0,0,4,0,2018-12-01,"12"
650,5.80357122421265,112,13,6,3,1,1,1,1,2,1,1,0,5,1,2019-03-01,"03"
730,8.58823490142822,85,113,4,3,1,1,1,1,2,0,0,1,6,0,2019-03-01,"03"
624.36,7.26000022888184,86,50,NA,4,1,0,1,0,0,1,0,0,13,0,2019-11-01,"11"
980,9.80000019073486,100,46,NA,4,1,1,1,0,0,1,1,0,NA,0,2019-04-01,"04"
595,7.53164577484131,79,49,NA,3,1,1,1,1,2,0,0,1,13,0,2019-07-01,"07"
484.8,8.7100248336792,55.6599998474121,61,NA,2,1,0,1,0,0,0,0,0,13,0,2019-09-01,"09"
1380,10.375940322876,133,20,NA,3,1,0,0,0,0,0,0,0,6,0,2019-02-01,"02"
572.27,8.77984046936035,65.1800003051758,61,NA,3,1,0,1,0,0,0,0,0,13,0,2019-05-01,"05"
570,7.125,80,68,7,3.5,0,1,1,0,0,0,0,0,13,0,2019-03-01,"03"
527,8.5,62,18,3,2,1,1,1,1,2,1,0,0,4,0,2019-06-01,"06"
280.7,5.19814825057983,54,56,5,2,1,0,0,0,0,0,0,0,3,0,2019-01-01,"01"
580,5.27272748947144,110,NA,5,4,0,0,1,1,1,0,1,0,3,0,2019-03-01,"03"
280,14,20,65,NA,1,0,1,0,0,0,0,0,0,13,0,2019-04-01,"04"
1020,8.5,120,NA,6,3,1,0,0,0,0,0,0,0,5,0,2019-10-01,"10"
450,6.42857122421265,70,59,NA,3,1,0,1,0,0,0,0,0,13,0,2019-03-01,"03"
509,6.84784030914307,74.3300018310547,54,7,3,1,0,0,0,0,0,0,0,13,0,2019-03-01,"03"
545,7.67605638504028,71,55,NA,3,1,0,1,0,0,0,0,0,13,0,2019-07-01,"07"
650,8.125,80,39,7,3,1,1,1,1,1,0,0,1,6,0,2019-07-01,"07"
475.45,6.79214286804199,70,61,7,3,1,0,1,1,2,0,0,0,NA,0,2019-06-01,"06"
630,8.39999961853027,75,62,7,3,1,0,0,0,0,0,0,0,13,0,2019-01-01,"01"
380,10.2702703475952,37,NA,4,1,0,0,0,0,0,0,0,0,13,0,2019-03-01,"03"
324,5.0967435836792,63.5699996948242,57,7,2,1,0,1,1,1,1,0,0,13,0,2019-07-01,"07"
1240,8.49315071105957,146,106,2,4,1,0,1,1,2,0,0,0,4,0,2019-07-01,"07"
460,6.57142877578735,70,122,7,2,0,1,1,1,1,0,0,0,4,0,2017-07-01,"07"
476.1,6.90000009536743,69,NA,7,3,1,0,1,1,1,0,0,0,NA,0,2019-06-01,"06"
695,10.859375,64,1,1,2.5,1,0,0,0,0,0,0,0,12,0,2019-10-01,"10"
545,6.31517934799194,86.3000030517578,60,6,3,0,0,0,1,2,0,0,1,NA,0,2019-10-01,"10"
489,7.7619047164917,63,11,3,3,1,1,1,1,2,0,1,1,6,0,2019-11-01,"11"
600,10,60,NA,4,2,0,0,0,0,0,0,0,0,4,0,2019-03-01,"03"
185.66,4.06169319152832,45.7099990844727,49,NA,1.5,1,0,1,0,0,0,0,0,13,0,2019-05-01,"05"
395,9.1860466003418,43,54,NA,1,1,0,1,0,0,0,0,1,13,0,2019-03-01,"03"
495.57,7.90004777908325,62.7299995422363,61,NA,3,1,0,1,0,0,0,0,0,13,0,2019-11-01,"11"
1100,18.3333339691162,60,NA,4,3,0,0,0,0,0,0,0,0,6,0,2018-10-01,"10"
795,8.64130401611328,92,56,NA,3,1,1,1,0,0,0,0,1,13,0,2019-09-01,"09"
380,7.91666650772095,48,50,7,2,0,1,1,0,0,0,0,0,13,0,2019-05-01,"05"
774,9,86,3,1,3,1,0,1,1,2,1,0,0,12,1,2018-04-01,"04"
600,7.5,80,55,5,3,1,0,1,1,1,0,0,0,4,0,2019-10-01,"10"
330,6.22641515731812,53,55,7,2,0,0,1,1,1,0,0,0,13,0,2019-06-01,"06"
430,12.6470584869385,34,39,4,1,1,0,1,1,1,0,0,0,4,0,2019-07-01,"07"
540,6.37996244430542,84.6399993896484,27,7,3,1,0,1,0,0,0,0,0,13,0,2018-09-01,"09"
413,6.30053377151489,65.5500030517578,81,NA,3,1,0,1,0,0,0,0,0,4,0,2019-11-01,"11"
395,5.51367950439453,71.6399993896484,67,NA,3.5,1,1,1,0,0,0,0,1,3,0,2019-12-01,"12"
720,5.53846168518066,130,NA,4,4.5,0,0,0,0,0,0,0,1,6,0,2019-03-01,"03"
850,9.04255294799805,94,54,5,3,1,0,1,0,0,0,0,1,13,0,2019-07-01,"07"
634.86,9.74010467529297,65.1800003051758,61,NA,3,1,0,1,0,0,0,0,0,13,0,2019-07-01,"07"
650,8.90410995483398,73,NA,4,3,0,0,0,0,0,0,0,0,4,0,2019-03-01,"03"
465,10.5681819915771,44,50,3,1.5,1,1,0,1,2,0,0,0,4,0,2019-04-01,"04"
480,9.23076915740967,52,64,7,2,0,1,1,1,1,0,0,0,13,0,2019-05-01,"05"
450,7.60263586044312,59.189998626709,58,2,3,0,0,1,0,0,0,0,0,4,0,2019-01-01,"01"
665,8.52564144134521,78,47,7,3,1,1,0,0,0,0,0,0,13,0,2019-07-01,"07"
450,7.5,60,65,NA,3,0,0,1,1,1,0,0,0,NA,0,2019-02-01,"02"
500,7.93650770187378,63,NA,NA,2,0,0,0,0,0,0,0,0,3,0,2019-01-01,"01"
540,6.58536577224731,82,58,NA,3,0,0,1,0,0,0,0,1,4,0,2019-09-01,"09"
350,7,50,116,7,2,0,1,1,0,0,0,0,0,3,0,2019-07-01,"07"
335.8,4.59999990463257,73,48,NA,3,1,0,1,0,0,0,1,1,13,0,2017-09-01,"09"
690,8.02325534820557,86,NA,7,3,1,0,1,0,0,0,0,0,4,0,2019-05-01,"05"
900,10.843373298645,83,4,3,4,1,1,1,1,2,1,0,0,4,0,2019-05-01,"05"
575,8.28172302246094,69.4300003051758,62,NA,3,1,0,1,0,0,0,0,0,13,0,2019-09-01,"09"
360,12,30,68,NA,2,0,1,1,0,0,0,0,0,4,0,2019-06-01,"06"
1200,8.5714282989502,140,150,NA,4,1,0,1,1,2,0,0,0,6,0,2019-09-01,"09"
448.66,8.15004539489746,55.0499992370605,62,NA,2,1,0,1,0,0,0,0,0,13,0,2019-12-01,"12"
447.52,7.22155857086182,61.9700012207031,25,7,2.5,1,0,1,0,0,0,0,1,13,0,2019-08-01,"08"
590,7.28395080566406,81,NA,5,3,1,0,1,1,2,0,0,0,6,0,2019-07-01,"07"
509,6.71681213378906,75.7799987792969,54,7,3,1,0,0,0,0,0,0,0,13,0,2019-08-01,"08"
520,7.64705896377563,68,49,6,2,1,1,1,1,1,0,0,0,10,0,2019-01-01,"01"
490,8.90909099578857,55,60,7,3,0,0,1,1,1,0,0,0,NA,0,2019-11-01,"11"
342,6.7830228805542,50.4199981689453,65,7,2,0,0,0,0,0,0,0,0,NA,0,2019-05-01,"05"
274.5,4.29174470901489,63.9599990844727,49,NA,2,1,0,1,0,0,1,0,0,13,0,2018-12-01,"12"
780,7.22222232818604,108,63,6,3,0,1,1,1,2,0,1,1,10,0,2019-05-01,"05"
990,8.91891860961914,111,30,7,3,1,0,1,1,2,1,0,0,5,0,2018-10-01,"10"
519,8.94827556610107,58,NA,6,3,1,1,1,0,0,0,0,1,13,0,2019-01-01,"01"
792,8,99,20,7,3,1,1,1,1,2,1,1,0,13,1,2019-01-01,"01"
560,11.0041265487671,50.8899993896484,1,1,2,1,1,1,0,0,1,0,0,NA,0,2019-06-01,"06"
477.39,8.59387969970703,55.5499992370605,61,NA,2,1,0,1,0,0,0,0,0,13,0,2019-07-01,"07"
335,6.56862735748291,51,54,7,2,1,0,0,0,0,0,0,0,13,0,2019-06-01,"06"
380,8.08510684967041,47,41,7,1.5,1,0,1,0,0,0,0,0,6,0,2019-09-01,"09"
226,5.90695285797119,38.2599983215332,68,7,1,1,0,0,0,0,0,0,0,13,0,2019-12-01,"12"
479,6.65277767181396,72,49,7,3,0,0,0,0,0,0,0,0,13,0,2019-11-01,"11"
